1	1
2	1
3	1
4	2
5	3
6	2
7	1
8	7
9	8
10	9
11	10
12	3
13	12
14	4
15	12
16	2
17	5
18	4
19	18
20	2
21	18
22	12
23	5
24	13
25	17
26	22
27	1
28	5
29	2
30	8
31	22
32	30
33	18
34	11
35	13
36	12
37	1
38	19
39	22
40	35
41	19
42	32
43	13
44	9
45	29
46	18
47	5
48	13
49	8
50	1
51	7
52	26
53	26
54	15
55	21
56	49
57	49
58	14
59	47
60	20
61	47
62	20
63	15
64	25
65	62
66	58
67	6
68	29
69	43
70	27
71	39
72	13
73	64
74	54
75	19
76	12
77	63
78	46
79	52
80	34
81	65
82	72
83	38
84	1
85	44
86	44
87	44
88	42
89	43
90	76
91	46
92	1
93	21
94	70
95	48
96	1
97	29
98	49
99	68
100	35
101	1
102	76
103	47
104	53
105	86
106	81
107	43
108	42
109	95
110	78
111	101
112	63
113	53
114	34
115	104
116	106
117	13
118	73
119	43
120	52
121	44
122	114
123	116
124	96
125	109
126	89
127	40
128	95
129	101
130	93
131	40
132	44
133	21
134	29
135	24
136	7
137	6
138	102
139	135
140	80
141	62
142	11
143	108
144	70
145	92
146	3
147	25
148	59
149	82
150	134
151	82
152	40
153	117
154	128
155	72
156	133
157	12
158	26
159	87
160	130
161	120
162	66
163	71
164	46
165	93
166	145
167	58
168	161
169	104
170	66
171	169
172	157
173	65
174	103
175	168
176	129
177	10
178	72
179	161
180	68
181	55
182	13
183	179
184	112
185	25
186	150
187	25
188	16
189	165
190	62
191	5
192	23
193	127
194	103
195	169
196	54
197	15
198	95
199	97
200	182
201	148
202	80
203	68
204	76
205	54
206	128
207	47
208	195
209	177
210	121
211	131
212	115
213	199
214	59
215	154
216	145
217	123
218	125
219	7
220	160
221	30
222	67
223	151
224	104
225	132
226	149
227	143
228	193
229	102
230	17
231	39
232	112
233	232
234	228
235	78
236	119
237	196
238	227
239	86
240	70
241	134
242	163
243	66
244	230
245	119
246	63
247	81
248	109
249	209
250	156
251	117
252	92
253	6
254	117
255	171
256	83
257	216
258	251
259	253
260	123
261	83
262	180
263	66
264	184
265	200
266	76
267	144
268	95
269	33
270	18
271	134
272	102
273	80
274	13
275	205
276	93
277	47
278	70
279	275
280	55
281	222
282	15
283	84
284	142
285	236
286	267
287	50
288	61
289	94
290	228
291	9
292	120
293	273
294	216
295	238
296	267
297	51
298	202
299	174
300	21
301	249
302	169
303	166
304	104
305	118
306	47
307	14
308	243
309	218
310	216
311	20
312	168
313	206
314	107
315	297
316	227
317	262
318	127
319	74
320	294
321	118
322	98
323	38
324	259
325	191
326	10
327	109
328	74
329	20
330	86
331	64
332	117
333	323
334	266
335	327
336	2
337	63
338	257
339	45
340	69
341	274
342	147
343	304
344	6
345	69
346	165
347	222
348	204
349	38
350	339
351	262
352	186
353	136
354	202
355	2
356	123
357	272
358	235
359	49
360	138
361	160
362	324
363	362
364	284
365	100
366	227
367	91
368	290
369	130
370	341
371	175
372	336
373	19
374	307
375	161
376	335
377	317
378	232
379	273
380	48
381	276
382	234
383	136
384	197
385	128
386	32
387	372
388	119
389	226
390	258
391	297
392	72
393	194
394	219
395	308
396	365
397	269
398	5
399	212
400	387
401	305
402	313
403	286
404	361
405	165
406	149
407	17
408	9
409	171
410	119
411	288
412	108
413	317
414	135
415	210
416	54
417	352
418	51
419	334
420	165
421	212
422	264
423	236
424	415
425	140
426	170
427	130
428	268
429	50
430	408
431	137
432	80
433	22
434	245
435	377
436	266
437	138
438	428
439	80
440	213
441	116
442	271
443	270
444	167
445	398
446	32
447	223
448	281
449	159
450	26
451	358
452	167
453	388
454	27
455	160
456	73
457	238
458	7
459	365
460	236
461	354
462	47
463	323
464	179
465	143
466	59
467	69
468	154
469	36
470	392
471	128
472	444
473	258
474	75
475	194
476	156
477	216
478	247
479	152
480	294
481	98
482	376
483	111
484	34
485	341
486	34
487	142
488	390
489	385
490	62
491	96
492	41
493	318
494	432
495	330
496	400
497	222
498	145
499	403
500	345
501	297
502	398
503	192
504	385
505	31
506	68
507	506
508	460
509	323
510	263
511	386
512	496
513	141
514	163
515	236
516	280
517	371
518	411
519	199
520	26
521	371
522	431
523	52
524	445
525	130
526	411
527	167
528	145
529	155
530	300
531	74
532	477
533	464
534	116
535	174
536	229
537	465
538	389
539	139
540	442
541	328
542	158
543	530
544	226
545	271
546	22
547	468
548	502
549	91
550	241
551	379
552	507
553	182
554	291
555	554
556	135
557	543
558	223
559	64
560	366
561	370
562	355
563	283
564	308
565	368
566	56
567	185
568	103
569	150
570	129
571	342
572	256
573	223
574	112
575	300
576	373
577	22
578	350
579	120
580	412
581	481
582	525
583	55
584	498
585	12
586	146
587	104
588	311
589	30
590	568
591	516
592	93
593	242
594	196
595	88
596	304
597	317
598	592
599	274
600	506
601	572
602	247
603	346
